rho,mu_A,lambda_A,Delta,in_corner_regime,pi_diff,pi_diff_analytical,normalized_diff,a_corner,rho_star,matches_analytical_sign
1.95,0.30000000000000004,0.5850000000000001,-0.014999999999999902,True,-0.4183806880591557,-0.41838068805915546,-1.3946022935305187,0,1.796338425716992,True
1.95,0.4,0.78,-0.019999999999999796,True,-0.5578409174122081,-0.5578409174122072,-1.3946022935305202,0,1.796338425716992,True
1.95,0.5,0.975,-0.0249999999999998,True,-0.6973011467652597,-0.697301146765259,-1.3946022935305193,0,1.796338425716992,True
1.95,0.6,1.17,-0.029999999999999805,True,-0.8367613761183111,-0.8367613761183108,-1.3946022935305187,0,1.796338425716992,True
1.95,0.7000000000000001,1.365,-0.03499999999999992,True,-0.9762216054713619,-0.9762216054713627,-1.394602293530517,0,1.796338425716992,True
1.95,0.8,1.56,-0.03999999999999959,True,-1.1156818348244162,-1.1156818348244144,-1.3946022935305202,0,1.796338425716992,True
1.95,0.9,1.755,-0.04499999999999971,True,-1.2551420641774669,-1.2551420641774662,-1.3946022935305187,0,1.796338425716992,True
1.95,1.0,1.95,-0.0499999999999996,True,-1.3946022935305193,-1.394602293530518,-1.3946022935305193,0,1.796338425716992,True
2.0,0.1,0.2,5.551115123125783e-17,True,-0.1848392481493191,-0.1848392481493189,-1.848392481493191,0,1.796338425716992,True
2.0,0.2,0.4,1.1102230246251565e-16,True,-0.3696784962986382,-0.3696784962986378,-1.848392481493191,0,1.796338425716992,True
