kappa,m_FB,a_FB,U_FB,is_optimal
0.44800000000000006,4.4642857142857135,1.0,84.46428571428572,True
0.44900000000000007,4.454342984409799,1.0,84.45434298440979,True
0.45000000000000007,4.444444444444444,1.0,84.44444444444444,True
0.45100000000000007,4.434589800443458,1.0,84.43458980044346,True
0.45199999999999996,4.424778761061948,1.0,84.42477876106196,True
0.45299999999999996,4.415011037527594,1.0,84.41501103752759,True
0.45399999999999996,4.405286343612335,1.0,84.40528634361235,True
0.45499999999999996,4.395604395604396,1.0,84.3956043956044,True
0.45599999999999996,4.385964912280702,1.0,84.38596491228071,True
0.45699999999999996,4.37636761487965,1.0,84.37636761487964,True
0.45799999999999996,4.366812227074236,1.0,84.36681222707423,True
0.45899999999999996,4.357298474945534,1.0,84.35729847494554,True
0.45999999999999996,4.347826086956522,1.0,84.34782608695652,True
0.46099999999999997,4.3383947939262475,1.0,84.33839479392626,True
0.46199999999999997,4.329004329004329,1.0,84.32900432900432,True
0.46299999999999997,4.319654427645789,1.0,84.31965442764579,True
0.46399999999999997,4.310344827586207,1.0,84.3103448275862,True
0.46499999999999997,4.301075268817205,1.0,84.30107526881721,True
0.46599999999999997,4.291845493562232,1.0,84.29184549356223,True
0.46699999999999997,4.282655246252677,1.0,84.28265524625269,True
0.46799999999999997,4.273504273504273,1.0,84.27350427350427,True
0.469,4.264392324093817,1.0,84.26439232409382,True
0.47,4.25531914893617,1.0,84.25531914893617,True
0.471,4.246284501061571,1.0,84.24628450106158,True
0.472,4.237288135593221,1.0,84.23728813559322,True
0.473,4.2283298097251585,1.0,84.22832980972517,True
0.474,4.219409282700422,1.0,84.21940928270041,True
0.475,4.2105263157894735,1.0,84.21052631578947,True
0.476,4.201680672268908,1.0,84.2016806722689,True
0.477,4.1928721174004195,1.0,84.19287211740043,True
0.478,4.184100418410042,1.0,84.18410041841004,True
0.479,4.175365344467641,1.0,84.17536534446765,True
